brand_code,artist,title,tier,method,chosen_ext,n_audio,n_candidates,note,chosen_path,alt_candidates
NOMAD-0028,The Hush Sound,Not Your Concern,HIGH,name-match,mp3,3,2,,NOMAD-0028 - The Hush Sound - Not Your Concern/The Hush Sound - Not Your Concern.mp3,NOMAD-0028 - The Hush Sound - Not Your Concern/10 Not Your Concern.mp3
NOMAD-0029,The Hush Sound,Out Through The Curtain,HIGH,name-match,mp3,3,2,,NOMAD-0029 - The Hush Sound - Out Through The Curtain/The Hush Sound - Out Through The Curtain.mp3,NOMAD-0029 - The Hush Sound - Out Through The Curtain/10 Out Through The Curtain.mp3
NOMAD-0030,The Hush Sound,Sweet Tangerine,MED,leftover-only,mp3,2,1,,NOMAD-0030 - The Hush Sound - Sweet Tangerine/03 Sweet Tangerine.mp3,
NOMAD-0031,The Hush Sound,That's Okay,HIGH,name-match,mp3,3,2,,NOMAD-0031 - The Hush Sound - That's Okay/The Hush Sound - That's Okay.mp3,NOMAD-0031 - The Hush Sound - That's Okay/09 That's Okay.mp3
NOMAD-0032,The Hush Sound,The Artist,HIGH,name-match,mp3,3,2,,NOMAD-0032 - The Hush Sound - The Artist/The Hush Sound - The Artist.mp3,NOMAD-0032 - The Hush Sound - The Artist/04 The Artist.mp3
NOMAD-0033,The Hush Sound,The Market,HIGH,name-match,mp3,3,2,,NOMAD-0033 - The Hush Sound - The Market/The Hush Sound - The Market.mp3,NOMAD-0033 - The Hush Sound - The Market/10 The Market.mp3
NOMAD-0034,The Hush Sound,Tides Change,HIGH,name-match,mp3,3,2,,NOMAD-0034 - The Hush Sound - Tides Change/The Hush Sound - Tides Change.mp3,NOMAD-0034 - The Hush Sound - Tides Change/11 Tides Change.mp3
NOMAD-0035,The Hush Sound,Unsafe Safe,HIGH,name-match,mp3,3,2,,NOMAD-0035 - The Hush Sound - Unsafe Safe/The Hush Sound - Unsafe Safe.mp3,NOMAD-0035 - The Hush Sound - Unsafe Safe/05 Unsafe Safe.mp3
NOMAD-0036,The Hush Sound,We Intertwined,HIGH,name-match,mp3,2,1,,NOMAD-0036 - The Hush Sound - We Intertwined/The Hush Sound - We Intertwined.mp3,
NOMAD-0037,The Hush Sound,Weeping Willow,HIGH,name-match,mp3,3,2,,NOMAD-0037 - The Hush Sound - Weeping Willow/The Hush Sound - Weeping Willow.mp3,NOMAD-0037 - The Hush Sound - Weeping Willow/02 Weeping Willow.mp3
NOMAD-0038,The Hush Sound,Where We Went Wrong,HIGH,name-match,mp3,2,1,,NOMAD-0038 - The Hush Sound - Where We Went Wrong/The Hush Sound - Where We Went Wrong.mp3,
NOMAD-0039,The Hush Sound,Wine Red,HIGH,name-match,mp3,3,2,,NOMAD-0039 - The Hush Sound - Wine Red/The Hush Sound - Wine Red.mp3,NOMAD-0039 - The Hush Sound - Wine Red/09 Wine Red.mp3
NOMAD-0040,The Hush Sound,You Are The Moon,HIGH,name-match,mp3,3,2,,NOMAD-0040 - The Hush Sound - You Are The Moon/The Hush Sound - You Are The Moon.mp3,NOMAD-0040 - The Hush Sound - You Are The Moon/11 You Are The Moon.mp3
NOMAD-0041,The Hush Sound,Lighthouse,MED,leftover-only,mp3,2,1,,NOMAD-0041 - The Hush Sound - Lighthouse/05 Lighthouse.mp3,
NOMAD-0042,Allie X,GLAM!,HIGH,name-match,mp3,3,2,,NOMAD-0042 - Allie X - GLAM!/Allie X - GLAM!.mp3,NOMAD-0042 - Allie X - GLAM!/01. GLAM!.mp3
NOMAD-0043,Lemaitre,Rocket Girl (feat. Betty Who),HIGH,name-match,mp3,3,2,,NOMAD-0043 - Lemaitre - Rocket Girl (feat. Betty Who)/Lemaitre - Rocket Girl (feat. Betty Who).mp3,NOMAD-0043 - Lemaitre - Rocket Girl (feat. Betty Who)/Lemaitre - Rocket Girl (feat. Betty Who)-KkmBkH1WLQA-256k-1655509627540.mp3
NOMAD-0044,Just Jack,253,HIGH,name-match,mp3,3,2,,NOMAD-0044 - Just Jack - 253/Just Jack - 253.mp3,NOMAD-0044 - Just Jack - 253/02 - 253.mp3
NOMAD-0045,Just Jack,All Night Cinema,HIGH,name-match,mp3,3,2,,NOMAD-0045 - Just Jack - All Night Cinema/Just Jack - All Night Cinema.mp3,NOMAD-0045 - Just Jack - All Night Cinema/07 - All night cinema.mp3
NOMAD-0046,Just Jack,Astronaut,HIGH,name-match,mp3,3,2,,NOMAD-0046 - Just Jack - Astronaut/Just Jack - Astronaut.mp3,NOMAD-0046 - Just Jack - Astronaut/08 - Astronaut.mp3
NOMAD-0047,Just Jack,Blood,HIGH,name-match,mp3,3,2,,NOMAD-0047 - Just Jack - Blood/Just Jack - Blood.mp3,NOMAD-0047 - Just Jack - Blood/06 - Blood.mp3
NOMAD-0048,Just Jack,Disco Friends,HIGH,name-match,mp3,3,2,,NOMAD-0048 - Just Jack - Disco Friends/Just Jack - Disco Friends.mp3,NOMAD-0048 - Just Jack - Disco Friends/03 - Disco Friends.mp3
NOMAD-0049,Just Jack,Doctor Doctor,HIGH,name-match,mp3,3,2,,NOMAD-0049 - Just Jack - Doctor Doctor/Just Jack - Doctor Doctor.mp3,NOMAD-0049 - Just Jack - Doctor Doctor/04 - Doctor doctor.mp3
NOMAD-0050,Just Jack,Embers,HIGH,name-match,mp3,3,2,,NOMAD-0050 - Just Jack - Embers/Just Jack - Embers.mp3,NOMAD-0050 - Just Jack - Embers/01 - Embers.mp3
NOMAD-0051,Just Jack,Glory Days,HIGH,name-match,mp3,3,2,,NOMAD-0051 - Just Jack - Glory Days/Just Jack - Glory Days.mp3,NOMAD-0051 - Just Jack - Glory Days/02 - Glory Days.mp3
NOMAD-0052,Just Jack,Goth In The Disco,HIGH,name-match,mp3,3,2,,NOMAD-0052 - Just Jack - Goth In The Disco/Just Jack - Goth In The Disco.mp3,NOMAD-0052 - Just Jack - Goth In The Disco/09 - Goth in the disco.mp3
NOMAD-0053,Just Jack,Hold On,HIGH,name-match,mp3,3,2,,NOMAD-0053 - Just Jack - Hold On/Just Jack - Hold On.mp3,NOMAD-0053 - Just Jack - Hold On/07 - Hold On.mp3
NOMAD-0054,Just Jack,I Talk Too Much,HIGH,name-match,mp3,3,2,,NOMAD-0054 - Just Jack - I Talk Too Much/Just Jack - I Talk Too Much.mp3,NOMAD-0054 - Just Jack - I Talk Too Much/06 - I Talk Too Much.mp3
NOMAD-0055,Just Jack,Life Stories,HIGH,name-match,mp3,3,2,,NOMAD-0055 - Just Jack - Life Stories/Just Jack - Life Stories.mp3,NOMAD-0055 - Just Jack - Life Stories/09 - Life Stories.mp3
NOMAD-0056,Just Jack,Lo And Behold,HIGH,name-match,mp3,3,2,,NOMAD-0056 - Just Jack - Lo And Behold/Just Jack - Lo And Behold.mp3,NOMAD-0056 - Just Jack - Lo And Behold/10 - Lo and behold.mp3
NOMAD-0057,Just Jack,Lost,HIGH,name-match,mp3,3,2,,NOMAD-0057 - Just Jack - Lost/Just Jack - Lost.mp3,NOMAD-0057 - Just Jack - Lost/05 - Lost.mp3
NOMAD-0058,Just Jack,Mourning Morning,HIGH,name-match,mp3,3,2,,NOMAD-0058 - Just Jack - Mourning Morning/Just Jack - Mourning Morning.mp3,NOMAD-0058 - Just Jack - Mourning Morning/11 - Mourning Morning.mp3
NOMAD-0059,Just Jack,No Time,HIGH,name-match,mp3,3,2,,NOMAD-0059 - Just Jack - No Time/Just Jack - No Time.mp3,NOMAD-0059 - Just Jack - No Time/10 - No Time.mp3
NOMAD-0060,Just Jack,So Wrong,HIGH,name-match,mp3,3,2,,NOMAD-0060 - Just Jack - So Wrong/Just Jack - So Wrong.mp3,NOMAD-0060 - Just Jack - So Wrong/05 - So wrong.mp3
NOMAD-0061,Just Jack,Spectacular Failures,HIGH,name-match,mp3,3,2,,NOMAD-0061 - Just Jack - Spectacular Failures/Just Jack - Spectacular Failures.mp3,NOMAD-0061 - Just Jack - Spectacular Failures/12 - Spectacular Failures.mp3
NOMAD-0062,Just Jack,Starz in Their Eyes,HIGH,name-match,mp3,3,2,,NOMAD-0062 - Just Jack - Starz in Their Eyes/Just Jack - Starz in Their Eyes.mp3,NOMAD-0062 - Just Jack - Starz in Their Eyes/04 - Starz in Their Eyes.mp3
NOMAD-0063,Just Jack,Symphony of Sirens,HIGH,name-match,mp3,3,2,,NOMAD-0063 - Just Jack - Symphony of Sirens/Just Jack - Symphony of Sirens.mp3,NOMAD-0063 - Just Jack - Symphony of Sirens/08 - Symphony of Sirens.mp3
NOMAD-0064,Just Jack,The Day I Died,HIGH,name-match,mp3,3,2,,NOMAD-0064 - Just Jack - The Day I Died/Just Jack - The Day I Died.mp3,NOMAD-0064 - Just Jack - The Day I Died/03 - The day i died.mp3
NOMAD-0065,Just Jack,Writers Block,HIGH,name-match,mp3,3,2,,NOMAD-0065 - Just Jack - Writers Block/Just Jack - Writers Block.mp3,NOMAD-0065 - Just Jack - Writers Block/01 - Writers Block.mp3
NOMAD-0066,Los Campesinos!,"This Is How You Spell ""HAHAHA, We Destroyed the Hopes and Dreams of a Generation of Faux-Romantics""",HIGH,name-match,mp3,4,2,,"NOMAD-0066 - Los Campesinos! - This Is How You Spell ""HAHAHA, We Destroyed the Hopes and Dreams of a Generation of Faux-Romantics""/Los Campesinos! - This Is How You Spell ""HAHAHA, We Destroyed the Hopes and Dreams of a Generation of Faux-Romantics"".mp3","NOMAD-0066 - Los Campesinos! - This Is How You Spell ""HAHAHA, We Destroyed the Hopes and Dreams of a Generation of Faux-Romantics""/07 This is How You Spell _Hahaha, We Destroyed the Hopes and Dreams of a Generation of Faux-Romantics.mp3"
NOMAD-0067,Los Campesinos!,"2007, The Year Punk Broke (My Heart)",MED,leftover-only,mp3,3,1,,"NOMAD-0067 - Los Campesinos! - 2007, The Year Punk Broke (My Heart)/12 2007_ The Year Punk Broke (My Heart).mp3",
NOMAD-0068,Los Campesinos!,And We Exhale and Roll Our Eyes in Unison,HIGH,name-match,mp3,4,2,,NOMAD-0068 - Los Campesinos! - And We Exhale and Roll Our Eyes in Unison/Los Campesinos! - And We Exhale and Roll Our Eyes in Unison.mp3,NOMAD-0068 - Los Campesinos! - And We Exhale and Roll Our Eyes in Unison/10 ...And We Exhale and Roll Our Eyes in Unison.mp3
NOMAD-0069,Los Campesinos!,Broken Heartbeats Sounds Like Breakbeats,HIGH,name-match,mp3,4,2,,NOMAD-0069 - Los Campesinos! - Broken Heartbeats Sounds Like Breakbeats/Los Campesinos! - Broken Heartbeats Sounds Like Breakbeats.mp3,NOMAD-0069 - Los Campesinos! - Broken Heartbeats Sounds Like Breakbeats/02 Broken Heartbeats Sounds Like Breakbeats.mp3
NOMAD-0070,Los Campesinos!,Death to Los Campesinos!,HIGH,name-match,mp3,4,2,,NOMAD-0070 - Los Campesinos! - Death to Los Campesinos!/Los Campesinos! - Death to Los Campesinos!.mp3,NOMAD-0070 - Los Campesinos! - Death to Los Campesinos!/01 Death to Los Campesinos!.mp3
NOMAD-0071,Los Campesinos!,Don't Tell Me to Do the Math(s),HIGH,name-match,mp3,4,2,,NOMAD-0071 - Los Campesinos! - Don't Tell Me to Do the Math(s)/Los Campesinos! - Don't Tell Me to Do the Math(s).mp3,NOMAD-0071 - Los Campesinos! - Don't Tell Me to Do the Math(s)/03 Don't tell Me to Do the Math(s).mp3
NOMAD-0072,Los Campesinos!,Drop It Doe Eyes,HIGH,name-match,mp3,4,2,,NOMAD-0072 - Los Campesinos! - Drop It Doe Eyes/Los Campesinos! - Drop It Doe Eyes.mp3,NOMAD-0072 - Los Campesinos! - Drop It Doe Eyes/04 Drop It Doe Eyes.mp3
NOMAD-0073,Los Campesinos!,Knee Deep At ATP,HIGH,name-match,mp3,4,2,,NOMAD-0073 - Los Campesinos! - Knee Deep At ATP/Los Campesinos! - Knee Deep At ATP.mp3,NOMAD-0073 - Los Campesinos! - Knee Deep At ATP/06 Knee Deep At ATP.mp3
NOMAD-0074,Los Campesinos!,My Year In Lists,HIGH,name-match,mp3,4,2,,NOMAD-0074 - Los Campesinos! - My Year In Lists/Los Campesinos! - My Year In Lists.mp3,NOMAD-0074 - Los Campesinos! - My Year In Lists/05 My Year In Lists.mp3
NOMAD-0075,Los Campesinos!,"Sweet Dreams, Sweet Cheeks",HIGH,name-match,mp3,4,2,,"NOMAD-0075 - Los Campesinos! - Sweet Dreams, Sweet Cheeks/Los Campesinos! - Sweet Dreams, Sweet Cheeks.mp3","NOMAD-0075 - Los Campesinos! - Sweet Dreams, Sweet Cheeks/11 Sweet Dreams, Sweet Cheeks.mp3"
NOMAD-0076,Los Campesinos!,We Are All Accelerated Readers,HIGH,name-match,mp3,4,2,,NOMAD-0076 - Los Campesinos! - We Are All Accelerated Readers/Los Campesinos! - We Are All Accelerated Readers.mp3,NOMAD-0076 - Los Campesinos! - We Are All Accelerated Readers/08 We Are All Accelerated Readers.mp3
NOMAD-0077,Los Campesinos!,You! Me! Dancing!,HIGH,name-match,mp3,4,2,,NOMAD-0077 - Los Campesinos! - You! Me! Dancing!/Los Campesinos! - You! Me! Dancing!.mp3,NOMAD-0077 - Los Campesinos! - You! Me! Dancing!/09 You! Me! Dancing!.mp3
NOMAD-0078,Mew,156,HIGH,name-match,mp3,3,1,,NOMAD-0078 - Mew - 156/Mew - 156.mp3,
NOMAD-0079,Mew,Am I Wry? No,MED,leftover-only,mp3,3,1,,NOMAD-0079 - Mew - Am I Wry? No/01 Am I Wry  No.mp3,
NOMAD-0080,Mew,Behind the Drapes,HIGH,name-match,mp3,3,2,,NOMAD-0080 - Mew - Behind the Drapes/Mew - Behind the Drapes.mp3,NOMAD-0080 - Mew - Behind the Drapes/05 Behind the Drapes.mp3
NOMAD-0081,Mew,Comforting Sounds,HIGH,name-match,mp3,3,2,,NOMAD-0081 - Mew - Comforting Sounds/Mew - Comforting Sounds.mp3,NOMAD-0081 - Mew - Comforting Sounds/10 Comforting Sounds.mp3
NOMAD-0082,Mew,"Eight Flew Over, One was Destroyed",HIGH,name-match,mp3,3,2,,"NOMAD-0082 - Mew - Eight Flew Over, One was Destroyed/Mew - Eight Flew Over, One was Destroyed.mp3","NOMAD-0082 - Mew - Eight Flew Over, One was Destroyed/07 Eight Flew Over, One was Destroyed.mp3"
NOMAD-0083,Mew,Her Voice is Beyond Her Years,HIGH,name-match,mp3,3,2,,NOMAD-0083 - Mew - Her Voice is Beyond Her Years/Mew - Her Voice is Beyond Her Years.mp3,NOMAD-0083 - Mew - Her Voice is Beyond Her Years/06 Her Voice is Beyond Her Years.mp3
NOMAD-0084,Mew,She Came Home for Christmas,HIGH,name-match,mp3,3,2,,NOMAD-0084 - Mew - She Came Home for Christmas/Mew - She Came Home for Christmas.mp3,NOMAD-0084 - Mew - She Came Home for Christmas/08 She Came Home for Christmas.mp3
NOMAD-0085,Mew,She Spider,HIGH,name-match,mp3,3,2,,NOMAD-0085 - Mew - She Spider/Mew - She Spider.mp3,NOMAD-0085 - Mew - She Spider/09 She Spider.mp3
NOMAD-0086,Mew,Snow Brigade,HIGH,name-match,mp3,3,2,,NOMAD-0086 - Mew - Snow Brigade/Mew - Snow Brigade.mp3,NOMAD-0086 - Mew - Snow Brigade/03 Snow Brigade.mp3
NOMAD-0087,Mew,Symmetry,HIGH,name-match,mp3,3,2,,NOMAD-0087 - Mew - Symmetry/Mew - Symmetry.mp3,NOMAD-0087 - Mew - Symmetry/04 Symmetry.mp3
NOMAD-0088,of Montreal,Gronlandic Edit,HIGH,name-match,mp3,3,2,,NOMAD-0088 - of Montreal - Gronlandic Edit/of Montreal - Gronlandic Edit.mp3,NOMAD-0088 - of Montreal - Gronlandic Edit/05 - Gronlandic Edit.mp3
NOMAD-0089,Idlewild,(I Am) What I Am Not,HIGH,name-match,mp3,3,2,,NOMAD-0089 - Idlewild - (I Am) What I Am Not/Idlewild - (I Am) What I Am Not.mp3,NOMAD-0089 - Idlewild - (I Am) What I Am Not/05 - (I Am) What I Am Not.mp3
NOMAD-0090,Idlewild,A Modern Way of Letting Go,HIGH,name-match,mp3,3,2,,NOMAD-0090 - Idlewild - A Modern Way of Letting Go/Idlewild - A Modern Way of Letting Go.mp3,NOMAD-0090 - Idlewild - A Modern Way of Letting Go/02 - A Modern Way of Letting Go.mp3
NOMAD-0091,Idlewild,Actually It's Darkness,HIGH,name-match,mp3,3,2,,NOMAD-0091 - Idlewild - Actually It's Darkness/Idlewild - Actually It's Darkness.mp3,NOMAD-0091 - Idlewild - Actually It's Darkness/08 Actually It's Darkness.mp3
NOMAD-0092,Idlewild,American English,HIGH,name-match,mp3,3,2,,NOMAD-0092 - Idlewild - American English/Idlewild - American English.mp3,NOMAD-0092 - Idlewild - American English/03 - American English.mp3
NOMAD-0093,Idlewild,Century After Century,HIGH,name-match,mp3,3,2,,NOMAD-0093 - Idlewild - Century After Century/Idlewild - Century After Century.mp3,NOMAD-0093 - Idlewild - Century After Century/08 - Century After Century.mp3
NOMAD-0094,Idlewild,I Don't Have The Map,HIGH,name-match,mp3,3,2,,NOMAD-0094 - Idlewild - I Don't Have The Map/Idlewild - I Don't Have The Map.mp3,NOMAD-0094 - Idlewild - I Don't Have The Map/02 I Don't Have The Map.mp3
NOMAD-0095,Idlewild,I Never Wanted,HIGH,name-match,mp3,3,2,,NOMAD-0095 - Idlewild - I Never Wanted/Idlewild - I Never Wanted.mp3,NOMAD-0095 - Idlewild - I Never Wanted/04 - I Never Wanted.mp3
NOMAD-0096,Idlewild,Idea Track,HIGH,name-match,mp3,3,2,,NOMAD-0096 - Idlewild - Idea Track/Idlewild - Idea Track.mp3,NOMAD-0096 - Idlewild - Idea Track/05 Idea Track.mp3
NOMAD-0097,Idlewild,"In Remote Part , Scottish Fiction",HIGH,name-match,mp3,3,2,,"NOMAD-0097 - Idlewild - In Remote Part , Scottish Fiction/Idlewild - In Remote Part , Scottish Fiction.mp3","NOMAD-0097 - Idlewild - In Remote Part , Scottish Fiction/11 - In Remote Part , Scottish Fiction.mp3"
NOMAD-0098,Idlewild,Let Me Sleep (Next To The Mirror),HIGH,name-match,mp3,3,2,,NOMAD-0098 - Idlewild - Let Me Sleep (Next To The Mirror)/Idlewild - Let Me Sleep (Next To The Mirror).mp3,NOMAD-0098 - Idlewild - Let Me Sleep (Next To The Mirror)/06 Let Me Sleep (Next To The Mirror).mp3
NOMAD-0099,Idlewild,Listen To What You've Got,HIGH,name-match,mp3,3,2,,NOMAD-0099 - Idlewild - Listen To What You've Got/Idlewild - Listen To What You've Got.mp3,NOMAD-0099 - Idlewild - Listen To What You've Got/07 Listen To What You've Got.mp3
NOMAD-0100,Idlewild,Little Discourage,HIGH,name-match,mp3,3,2,,NOMAD-0100 - Idlewild - Little Discourage/Idlewild - Little Discourage.mp3,NOMAD-0100 - Idlewild - Little Discourage/01 Little Discourage.mp3
NOMAD-0101,Idlewild,Live in a Hiding Place,HIGH,name-match,mp3,3,2,,NOMAD-0101 - Idlewild - Live in a Hiding Place/Idlewild - Live in a Hiding Place.mp3,NOMAD-0101 - Idlewild - Live in a Hiding Place/06 - Live in a Hiding Place.mp3
NOMAD-0102,Idlewild,Mistake Pageant,HIGH,name-match,mp3,3,2,,NOMAD-0102 - Idlewild - Mistake Pageant/Idlewild - Mistake Pageant.mp3,NOMAD-0102 - Idlewild - Mistake Pageant/10 Mistake Pageant.mp3
NOMAD-0103,Idlewild,Out of Routine,HIGH,name-match,mp3,3,2,,NOMAD-0103 - Idlewild - Out of Routine/Idlewild - Out of Routine.mp3,NOMAD-0103 - Idlewild - Out of Routine/07 - Out of Routine.mp3
NOMAD-0104,Idlewild,Quiet Crown,HIGH,name-match,mp3,3,2,,NOMAD-0104 - Idlewild - Quiet Crown/Idlewild - Quiet Crown.mp3,NOMAD-0104 - Idlewild - Quiet Crown/11 Quiet Crown.mp3
NOMAD-0105,Idlewild,Roseability,HIGH,name-match,mp3,3,2,,NOMAD-0105 - Idlewild - Roseability/Idlewild - Roseability.mp3,NOMAD-0105 - Idlewild - Roseability/04 Roseability.mp3
NOMAD-0106,Idlewild,Rusty,HIGH,name-match,mp3,3,2,,NOMAD-0106 - Idlewild - Rusty/Idlewild - Rusty.mp3,NOMAD-0106 - Idlewild - Rusty/09 Rusty.mp3
NOMAD-0107,Idlewild,Stay the Same,HIGH,name-match,mp3,3,2,,NOMAD-0107 - Idlewild - Stay the Same/Idlewild - Stay the Same.mp3,NOMAD-0107 - Idlewild - Stay the Same/10 - Stay the Same.mp3
NOMAD-0108,Idlewild,Tell Me Ten Words,HIGH,name-match,mp3,3,2,,NOMAD-0108 - Idlewild - Tell Me Ten Words/Idlewild - Tell Me Ten Words.mp3,NOMAD-0108 - Idlewild - Tell Me Ten Words/09 - Tell Me Ten Words.mp3
